Signal_ID,Date,Signal_Type,Signal_Strength,Confidence_Score,Entry_Price,Exit_Price,Predicted_Price,Target_Price,Stop_Loss_Price,Actual_Gain_Loss_Pct,Actual_Gain_Loss_Amount,Max_Gain_During_Period,Max_Loss_During_Period,Volatility_During_Period,Prediction_Accuracy,Target_Hit,Stop_Loss_Hit,Exit_Reason,Planned_Duration_Days,Actual_Duration_Days,Annualized_Return_Pct,Risk_Reward_Ratio,Portfolio_Value_After_Trade,Predicted_Trend,Actual_Trend,Trade_Success,High_Confidence
SIG_0035,Day_34,SELL,Strong,32.7,68.92,37.35,3199.17,75.81,66.85,-45.81,0.0,0.0,-45.81,45.81,Correct,No,Yes,Stop_Loss,1,1,-16719.46,3.33,115328.07,Bearish,Bearish,Loss,Yes
SIG_0036,Day_35,BUY,Strong,30.14,37.35,67.89,4163.33,41.09,36.23,81.77,9430.04,81.77,0.0,81.77,Correct,Yes,No,Target_Hit,1,1,29844.98,3.33,124758.1,Bullish,Bullish,Profitable,Yes
SIG_0037,Day_36,SELL,Strong,26.39,67.89,69.82,3064.44,74.68,65.85,2.84,0.0,2.84,0.0,2.84,Incorrect,No,No,Target_Duration,1,1,1037.63,3.33,124758.1,Bearish,Bullish,Profitable,Yes
SIG_0038,Day_37,BUY,Strong,39.21,69.82,39.31,4265.92,76.8,67.73,-43.7,-5451.69,0.0,-43.7,43.7,Incorrect,No,Yes,Stop_Loss,1,1,-15949.8,3.33,119306.41,Bullish,Bearish,Loss,Yes
SIG_0039,Day_38,SELL,Strong,23.47,39.31,69.08,3264.64,43.24,38.13,75.73,0.0,75.73,0.0,75.73,Incorrect,Yes,No,Target_Hit,1,1,27641.95,3.33,119306.41,Bearish,Bullish,Profitable,Yes
SIG_0040,Day_39,SELL,Medium,1.42,69.08,38.6,3218.33,75.99,67.01,-44.12,0.0,0.0,-44.12,44.12,Correct,No,Yes,Stop_Loss,1,1,-16104.81,3.33,119306.41,Bearish,Bearish,Loss,No
SIG_0041,Day_40,BUY,Strong,50.16,38.6,69.19,4832.59,42.46,37.44,79.25,9454.88,79.25,0.0,79.25,Correct,Yes,No,Target_Hit,1,1,28925.78,3.33,128761.29,Bullish,Bullish,Profitable,Yes
SIG_0042,Day_41,BUY,Strong,7.15,69.19,38.62,5177.93,76.11,67.11,-44.18,-5689.02,0.0,-44.18,44.18,Incorrect,No,Yes,Stop_Loss,1,1,-16126.68,3.33,123072.27,Bullish,Bearish,Loss,Yes
SIG_0043,Day_42,SELL,Strong,32.31,38.62,38.3,3504.91,42.48,37.46,-0.83,0.0,0.0,-0.83,0.83,Correct,No,No,Target_Duration,1,1,-302.43,3.33,123072.27,Bearish,Bearish,Loss,Yes
SIG_0044,Day_43,SELL,Strong,4.84,38.3,69.11,3335.1,42.13,37.15,80.44,0.0,80.44,0.0,80.44,Incorrect,Yes,No,Target_Hit,1,1,29362.01,3.33,123072.27,Bearish,Bullish,Profitable,Yes
SIG_0045,Day_44,BUY,Strong,43.39,69.11,38.22,4782.2,76.02,67.04,-44.7,-5500.94,0.0,-44.7,44.7,Incorrect,No,Yes,Stop_Loss,1,1,-16314.35,3.33,117571.33,Bullish,Bearish,Loss,Yes
SIG_0046,Day_45,BUY,Strong,4.17,38.22,70.16,4981.46,42.04,37.07,83.57,9825.3,83.57,0.0,83.57,Correct,Yes,No,Target_Hit,1,1,30502.62,3.33,127396.63,Bullish,Bullish,Profitable,Yes
SIG_0047,Day_46,SELL,Strong,31.9,70.16,37.68,3392.3,77.18,68.06,-46.29,0.0,0.0,-46.29,46.29,Correct,No,Yes,Stop_Loss,1,1,-16897.38,3.33,127396.63,Bearish,Bearish,Loss,Yes
SIG_0048,Day_47,BUY,Strong,28.92,37.68,69.26,4373.32,41.45,36.55,83.81,10677.24,83.81,0.0,83.81,Correct,Yes,No,Target_Hit,1,1,30591.03,3.33,138073.87,Bullish,Bullish,Profitable,Yes
SIG_0049,Day_48,SELL,Strong,23.87,69.26,68.03,3329.36,76.19,67.18,-1.78,0.0,0.0,-1.78,1.78,Correct,No,No,Target_Duration,1,1,-648.21,3.33,138073.87,Bearish,Bearish,Loss,Yes
SIG_0050,Day_49,SELL,Strong,3.77,68.03,37.06,3203.74,74.83,65.99,-45.52,0.0,0.0,-45.52,45.52,Correct,No,Yes,Stop_Loss,1,1,-16616.27,3.33,138073.87,Bearish,Bearish,Loss,Yes
SIG_0051,Day_50,BUY,Strong,40.66,37.06,66.23,4506.31,40.77,35.95,78.71,10867.82,78.71,0.0,78.71,Correct,Yes,No,Target_Hit,1,1,28729.22,3.33,148941.69,Bullish,Bullish,Profitable,Yes
SIG_0052,Day_51,BUY,Strong,2.92,66.23,36.1,4637.81,72.85,64.24,-45.49,-6775.8,0.0,-45.49,45.49,Incorrect,No,Yes,Stop_Loss,1,1,-16604.94,3.33,142165.89,Bullish,Bearish,Loss,Yes
SIG_0053,Day_52,SELL,Strong,32.29,36.1,36.05,3140.49,39.71,35.02,-0.14,0.0,0.0,-0.14,0.14,Correct,No,No,Target_Duration,1,1,-50.55,3.33,142165.89,Bearish,Bearish,Loss,Yes
SIG_0054,Day_53,BUY,Strong,27.13,36.05,66.28,3992.47,39.66,34.97,83.86,11921.43,83.86,0.0,83.86,Correct,Yes,No,Target_Hit,1,1,30607.35,3.33,154087.32,Bullish,Bullish,Profitable,Yes
SIG_0055,Day_54,SELL,Strong,24.19,66.28,67.5,3026.65,72.91,64.29,1.84,0.0,1.84,0.0,1.84,Incorrect,No,No,Target_Duration,1,1,671.85,3.33,154087.32,Bearish,Bullish,Profitable,Yes
SIG_0056,Day_55,BUY,Strong,32.77,67.5,36.0,4018.45,74.25,65.47,-46.67,-7190.74,0.0,-46.67,46.67,Incorrect,No,Yes,Stop_Loss,1,1,-17033.33,3.33,146896.58,Bullish,Bearish,Loss,Yes
SIG_0057,Day_56,SELL,Strong,24.3,36.0,35.85,3041.92,39.6,34.92,-0.42,0.0,0.0,-0.42,0.42,Correct,No,No,Target_Duration,1,1,-152.08,3.33,146896.58,Bearish,Bearish,Loss,Yes
SIG_0058,Day_57,BUY,Strong,35.99,35.85,66.5,4136.75,39.44,34.77,85.5,12558.94,85.5,0.0,85.5,Correct,Yes,No,Target_Hit,1,1,31205.72,3.33,159455.52,Bullish,Bullish,Profitable,Yes
SIG_0059,Day_58,SELL,Strong,23.44,66.5,35.12,3167.16,73.15,64.5,-47.19,0.0,0.0,-47.19,47.19,Correct,No,Yes,Stop_Loss,1,1,-17223.61,3.33,159455.52,Bearish,Bearish,Loss,Yes
SIG_0060,Day_59,BUY,Strong,33.58,35.12,65.87,4230.82,38.63,34.07,87.56,13961.44,87.56,0.0,87.56,Correct,Yes,No,Target_Hit,1,1,31958.29,3.33,173416.96,Bullish,Bullish,Profitable,Yes
SIG_0061,Day_60,SELL,Strong,23.83,65.87,34.91,3222.51,72.46,63.89,-47.0,0.0,0.0,-47.0,47.0,Correct,No,Yes,Stop_Loss,1,1,-17155.61,3.33,173416.96,Bearish,Bearish,Loss,Yes
SIG_0062,Day_61,SELL,Strong,6.03,34.91,65.5,3028.28,38.4,33.86,87.63,0.0,87.63,0.0,87.63,Incorrect,Yes,No,Target_Hit,1,1,31983.24,3.33,173416.96,Bearish,Bullish,Profitable,Yes
SIG_0063,Day_62,BUY,Strong,45.67,65.5,65.51,4411.2,72.05,63.54,0.02,2.65,0.02,0.0,0.02,Correct,No,No,Target_Duration,1,1,5.57,3.33,173419.6,Bullish,Bullish,Profitable,Yes
SIG_0064,Day_63,SELL,Strong,22.1,65.51,34.6,3436.27,72.06,63.54,-47.18,0.0,0.0,-47.18,47.18,Correct,No,Yes,Stop_Loss,1,1,-17222.03,3.33,173419.6,Bearish,Bearish,Loss,Yes
SIG_0065,Day_64,BUY,Strong,30.32,34.6,64.76,4478.23,38.06,33.56,87.17,15116.58,87.17,0.0,87.17,Correct,Yes,No,Target_Hit,1,1,31816.18,3.33,188536.18,Bullish,Bullish,Profitable,Yes
SIG_0066,Day_65,BUY,Strong,3.68,64.76,33.81,4642.86,71.24,62.82,-47.79,-9010.49,0.0,-47.79,47.79,Incorrect,No,Yes,Stop_Loss,1,1,-17444.02,3.33,179525.69,Bullish,Bearish,Loss,Yes
SIG_0067,Day_66,SELL,Strong,32.28,33.81,65.47,3144.14,37.19,32.8,93.64,0.0,93.64,0.0,93.64,Incorrect,Yes,No,Target_Hit,1,1,34178.94,3.33,179525.69,Bearish,Bullish,Profitable,Yes
SIG_0068,Day_67,SELL,Strong,9.73,65.47,34.84,2838.29,72.02,63.51,-46.78,0.0,0.0,-46.78,46.78,Correct,No,Yes,Stop_Loss,1,1,-17076.45,3.33,179525.69,Bearish,Bearish,Loss,Yes
SIG_0069,Day_68,BUY,Strong,47.03,34.84,34.09,4173.19,38.32,33.79,-2.15,-386.46,0.0,-2.15,2.15,Incorrect,No,No,Target_Duration,1,1,-785.73,3.33,179139.22,Bullish,Bearish,Loss,Yes
SIG_0070,Day_69,SELL,Strong,22.71,34.09,63.98,3225.61,37.5,33.07,87.68,0.0,87.68,0.0,87.68,Incorrect,Yes,No,Target_Hit,1,1,32003.08,3.33,179139.22,Bearish,Bullish,Profitable,Yes
SIG_0071,Day_70,BUY,Strong,33.71,63.98,63.49,4312.94,70.38,62.06,-0.77,-137.2,0.0,-0.77,0.77,Incorrect,No,No,Target_Duration,1,1,-279.54,3.33,179002.03,Bullish,Bearish,Loss,Yes
SIG_0072,Day_71,SELL,Strong,23.21,63.49,33.06,3311.88,69.84,61.59,-47.93,0.0,0.0,-47.93,47.93,Correct,No,Yes,Stop_Loss,1,1,-17494.01,3.33,179002.03,Bearish,Bearish,Loss,Yes
SIG_0073,Day_72,BUY,Strong,29.56,33.06,60.32,4290.87,36.37,32.07,82.46,14759.82,82.46,0.0,82.46,Correct,Yes,No,Target_Hit,1,1,30096.49,3.33,193761.84,Bullish,Bullish,Profitable,Yes
SIG_0074,Day_73,SELL,Strong,30.43,60.32,31.44,2985.34,66.35,58.51,-47.88,0.0,0.0,-47.88,47.88,Correct,No,Yes,Stop_Loss,1,1,-17475.46,3.33,193761.84,Bearish,Bearish,Loss,Yes
SIG_0075,Day_74,BUY,Strong,37.38,31.44,32.65,4101.33,34.58,30.5,3.85,745.71,3.85,0.0,3.85,Correct,No,No,Target_Duration,1,1,1404.74,3.33,194507.55,Bullish,Bullish,Profitable,Yes
SIG_0076,Day_75,BUY,Strong,6.0,32.65,63.59,4347.29,35.92,31.67,94.76,18432.05,94.76,0.0,94.76,Correct,Yes,No,Target_Hit,1,1,34588.36,3.33,212939.6,Bullish,Bullish,Profitable,Yes
SIG_0077,Day_76,SELL,Strong,32.1,63.59,33.47,2951.79,69.95,61.68,-47.37,0.0,0.0,-47.37,47.37,Correct,No,Yes,Stop_Loss,1,1,-17288.57,3.33,212939.6,Bearish,Bearish,Loss,Yes
SIG_0078,Day_77,BUY,Strong,34.62,33.47,63.01,3973.62,36.82,32.47,88.26,18793.65,88.26,0.0,88.26,Correct,Yes,No,Target_Hit,1,1,32214.22,3.33,231733.26,Bullish,Bullish,Profitable,Yes
SIG_0079,Day_78,SELL,Strong,23.43,63.01,63.09,3042.44,69.31,61.12,0.13,0.0,0.13,0.0,0.13,Incorrect,No,No,Target_Duration,1,1,46.34,3.33,231733.26,Bearish,Bullish,Profitable,Yes
SIG_0080,Day_79,BUY,Strong,40.47,63.09,34.38,4273.73,69.4,61.2,-45.51,-10545.35,0.0,-45.51,45.51,Incorrect,No,Yes,Stop_Loss,1,1,-16609.84,3.33,221187.9,Bullish,Bearish,Loss,Yes
SIG_0081,Day_80,SELL,Strong,23.92,34.38,33.92,3251.34,37.82,33.35,-1.34,0.0,0.0,-1.34,1.34,Correct,No,No,Target_Duration,1,1,-488.37,3.33,221187.9,Bearish,Bearish,Loss,Yes
SIG_0082,Day_81,BUY,Strong,37.13,33.92,63.52,4458.62,37.31,32.9,87.26,19301.77,87.26,0.0,87.26,Correct,Yes,No,Target_Hit,1,1,31851.42,3.33,240489.68,Bullish,Bullish,Profitable,Yes
SIG_0083,Day_82,SELL,Strong,24.21,63.52,34.47,3379.04,69.87,61.61,-45.73,0.0,0.0,-45.73,45.73,Correct,No,Yes,Stop_Loss,1,1,-16692.77,3.33,240489.68,Bearish,Bearish,Loss,Yes
SIG_0084,Day_83,SELL,Strong,3.75,34.47,63.59,3252.33,37.92,33.44,84.48,0.0,84.48,0.0,84.48,Incorrect,Yes,No,Target_Hit,1,1,30834.93,3.33,240489.68,Bearish,Bullish,Profitable,Yes
SIG_0085,Day_84,BUY,Strong,44.19,63.59,62.29,4689.4,69.95,61.68,-2.04,-491.64,0.0,-2.04,2.04,Incorrect,No,No,Target_Duration,1,1,-746.19,3.33,239998.04,Bullish,Bearish,Loss,Yes
SIG_0086,Day_85,SELL,Strong,21.83,62.29,33.84,3665.67,68.52,60.42,-45.67,0.0,0.0,-45.67,45.67,Correct,No,Yes,Stop_Loss,1,1,-16670.81,3.33,239998.04,Bearish,Bearish,Loss,Yes
SIG_0087,Day_86,BUY,Strong,29.91,33.84,33.59,4762.11,37.22,32.82,-0.74,-177.3,0.0,-0.74,0.74,Incorrect,No,No,Target_Duration,1,1,-269.65,3.33,239820.73,Bullish,Bearish,Loss,Yes
SIG_0088,Day_87,BUY,Strong,2.54,33.59,61.99,4883.16,36.95,32.58,84.55,20276.6,84.55,0.0,84.55,Correct,Yes,No,Target_Hit,1,1,30860.38,3.33,260097.33,Bullish,Bullish,Profitable,Yes
SIG_0089,Day_88,SELL,Strong,32.19,61.99,61.68,3311.24,68.19,60.13,-0.5,0.0,0.0,-0.5,0.5,Correct,No,No,Target_Duration,1,1,-182.53,3.33,260097.33,Bearish,Bearish,Loss,Yes
SIG_0090,Day_89,BUY,Strong,26.32,61.68,32.4,4182.82,67.85,59.83,-47.47,-12347.03,0.0,-47.47,47.47,Incorrect,No,Yes,Stop_Loss,1,1,-17326.85,3.33,247750.3,Bullish,Bearish,Loss,Yes
SIG_0091,Day_90,SELL,Strong,24.38,32.4,32.79,3163.05,35.64,31.43,1.2,0.0,1.2,0.0,1.2,Incorrect,No,No,Target_Duration,1,1,439.35,3.33,247750.3,Bearish,Bullish,Profitable,Yes
SIG_0092,Day_91,BUY,Strong,32.51,32.79,62.02,4191.24,36.07,31.81,89.14,22085.21,89.14,0.0,89.14,Correct,Yes,No,Target_Hit,1,1,32537.21,3.33,269835.51,Bullish,Bullish,Profitable,Yes
SIG_0093,Day_92,SELL,Strong,24.52,62.02,59.99,3163.47,68.22,60.16,-3.27,0.0,0.0,-3.27,3.27,Correct,No,Yes,Stop_Loss,1,1,-1194.7,3.33,269835.51,Bearish,Bearish,Loss,Yes
SIG_0094,Day_93,BUY,Strong,35.57,59.99,31.85,4288.75,65.99,58.19,-46.91,-12657.39,0.0,-46.91,46.91,Incorrect,No,Yes,Stop_Loss,1,1,-17121.35,3.33,257178.11,Bullish,Bearish,Loss,Yes
SIG_0095,Day_94,SELL,Strong,23.22,31.85,57.18,3292.94,35.04,30.89,79.53,0.0,79.53,0.0,79.53,Incorrect,Yes,No,Target_Hit,1,1,29028.1,3.33,257178.11,Bearish,Bullish,Profitable,Yes
SIG_0096,Day_95,BUY,Strong,33.16,57.18,28.92,4384.98,62.9,55.46,-49.42,-12710.48,0.0,-49.42,49.42,Incorrect,No,Yes,Stop_Loss,1,1,-18039.35,3.33,244467.63,Bullish,Bearish,Loss,Yes
SIG_0097,Day_96,SELL,Strong,23.84,28.92,57.98,3339.56,31.81,28.05,100.48,0.0,100.48,0.0,100.48,Incorrect,Yes,No,Target_Hit,1,1,36676.69,3.33,244467.63,Bearish,Bullish,Profitable,Yes
SIG_0098,Day_97,SELL,Strong,6.61,57.98,29.06,3118.73,63.78,56.24,-49.88,0.0,0.0,-49.88,49.88,Correct,No,Yes,Stop_Loss,1,1,-18205.93,3.33,244467.63,Bearish,Bearish,Loss,Yes
SIG_0099,Day_98,BUY,Strong,44.46,29.06,29.16,4505.23,31.97,28.19,0.34,84.13,0.34,0.0,0.34,Correct,No,No,Target_Duration,1,1,125.6,3.33,244551.76,Bullish,Bullish,Profitable,Yes
SIG_0100,Day_99,SELL,Strong,21.99,29.16,57.78,3514.38,32.08,28.29,98.15,0.0,98.15,0.0,98.15,Incorrect,Yes,No,Target_Hit,1,1,35824.07,3.33,244551.76,Bearish,Bullish,Profitable,Yes
SIG_0101,Day_100,BUY,Strong,31.42,57.78,55.65,4618.47,63.56,56.05,-3.69,-901.51,0.0,-3.69,3.69,Incorrect,No,Yes,Stop_Loss,1,1,-1345.53,3.33,243650.24,Bullish,Bearish,Loss,Yes
SIG_0102,Day_101,SELL,Strong,24.75,55.65,29.43,3475.45,61.22,53.98,-47.12,0.0,0.0,-47.12,47.12,Correct,No,Yes,Stop_Loss,1,1,-17197.3,3.33,243650.24,Bearish,Bearish,Loss,Yes
SIG_0103,Day_102,BUY,Strong,29.53,29.43,29.33,4501.91,32.37,28.55,-0.34,-82.79,0.0,-0.34,0.34,Incorrect,No,No,Target_Duration,1,1,-124.02,3.33,243567.45,Bullish,Bearish,Loss,Yes
SIG_0104,Day_103,BUY,Strong,3.53,29.33,54.5,4660.82,32.26,28.45,85.82,20902.12,85.82,0.0,85.82,Correct,Yes,No,Target_Hit,1,1,31323.05,3.33,264469.58,Bullish,Bullish,Profitable,Yes
SIG_0105,Day_104,SELL,Strong,31.54,54.5,29.03,3190.73,59.95,52.86,-46.73,0.0,0.0,-46.73,46.73,Correct,No,Yes,Stop_Loss,1,1,-17057.89,3.33,264469.58,Bearish,Bearish,Loss,Yes
SIG_0106,Day_105,BUY,Strong,26.26,29.03,53.44,4028.67,31.93,28.16,84.09,22238.04,84.09,0.0,84.09,Correct,Yes,No,Target_Hit,1,1,30691.18,3.33,286707.61,Bullish,Bullish,Profitable,Yes
SIG_0107,Day_106,SELL,Strong,25.43,53.44,30.91,3004.07,58.78,51.84,-42.16,0.0,0.0,-42.16,42.16,Correct,No,Yes,Stop_Loss,1,1,-15388.19,3.33,286707.61,Bearish,Bearish,Loss,Yes
SIG_0108,Day_107,BUY,Strong,36.09,30.91,60.96,4088.1,34.0,29.98,97.22,27873.06,97.22,0.0,97.22,Correct,Yes,No,Target_Hit,1,1,35484.47,3.33,314580.68,Bullish,Bullish,Profitable,Yes
SIG_0109,Day_108,SELL,Strong,23.57,60.96,64.35,3124.73,67.06,59.13,5.56,0.0,5.56,0.0,5.56,Incorrect,No,No,Target_Duration,1,1,2029.77,3.33,314580.68,Bearish,Bullish,Profitable,Yes
SIG_0110,Day_109,SELL,Medium,1.6,64.35,31.77,3074.79,70.78,62.42,-50.63,0.0,0.0,-50.63,50.63,Correct,No,Yes,Stop_Loss,1,1,-18479.72,3.33,314580.68,Bearish,Bearish,Loss,No
