fold,test_start,test_end,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,total_trades,buy_hold_return,excess_return
47,2023-12-08,2024-01-23,2.133256395000004,8.244655149290487,2.9603105027828045,2.785064317253274,-0.4221562133796801,0.5,33,0.030837004405286472,2.1024193905947177
48,2023-12-22,2024-02-07,-0.3323694007499995,-0.4013769248132953,1.5666710420797927,-0.2561973216026627,-0.34561265849999956,0.38095238095238093,42,0.055773762765121825,-0.3881431635151213
49,2024-01-09,2024-02-22,0.3918891355000011,2.5444252498892195,1.6552532670041697,1.5371818322970934,-0.4080231151883087,0.4090909090909091,45,0.7696969696969697,-0.37780783419696856
50,2024-01-23,2024-03-06,0.32266393425000134,2.4079332528083937,1.6967852109351327,1.4191149458930827,-0.3515138349803918,0.36,50,-0.4790812141099262,0.8017451483599276
51,2024-02-08,2024-03-22,0.990589794750004,5.755391607189014,2.701106227578687,2.130753521807336,-0.4088114663060981,0.3076923076923077,52,-0.524904214559387,1.515494009309391
52,2024-02-22,2024-04-09,1.4905088100000046,6.6909249668078825,2.7710862059963235,2.414549555452105,-0.35893168385819474,0.2,40,-0.008836524300441951,1.4993453343004466
53,2024-03-07,2024-04-26,0.1271503432500026,2.4677682685548703,2.2407488001318083,1.1013141091092888,-0.3988945286790497,0.12,51,-0.3744207599629287,0.5015711032129313
54,2024-03-22,2024-05-13,-0.17674790599999823,-0.2378401232334141,2.4083537721552597,-0.09875630647924645,-0.5371344982499981,0.15384615384615385,53,0.33170254403131105,-0.5084504500313093
55,2024-04-10,2024-05-28,0.29839091775000154,5.72433277985124,3.343675832859848,1.7119879635446642,-0.48052167766394005,0.3157894736842105,38,0.8032544378698228,-0.5048635201198213
56,2024-04-26,2024-06-11,1.3784539732500023,8.522935196828605,3.577620823451025,2.382291365524661,-0.4534748937548404,0.4166666666666667,48,0.2841483979763914,1.0943055752736108
57,2024-05-14,2024-06-27,2.5154272537500044,10.676907713435943,3.7127547409626542,2.875737412880551,-0.4305258721210245,0.391304347826087,46,1.1541125541125543,1.36131469963745
